player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Ulisses Garcia,Marseille,FULL_BACK,SUI,89.5,36.0,30.0,33.34,3.0,1.0,1.0
Davinson Sánchez,Galatasaray,CENTRE_BACK,COL,89.46,637.0,581.0,50.0,2.0,1.0,32.0
Yunus Musah,Atalanta,MIDFIELDER,USA,89.43,113.0,98.0,0.0,2.0,0.0,5.0
Thiago Almada,Atleti,UNKNOWN,ARG,89.4,101.0,93.0,50.0,6.0,3.0,2.0
Eric García,Barcelona,CENTRE_BACK,ESP,89.34,511.0,472.0,0.0,0.0,0.0,9.0
Lucas Rosa,Ajax,UNKNOWN,BRA,89.34,118.0,107.0,0.0,3.0,0.0,7.0
Phil Foden,Man City,UNKNOWN,ENG,89.29,305.0,273.0,37.04,27.0,10.0,6.0
Dávid Hancko,Atleti,CENTRE_BACK,SVK,89.2,553.0,496.0,20.0,5.0,1.0,13.0
Denzel Dumfries,Inter,FULL_BACK,NED,89.2,122.0,107.0,20.0,10.0,2.0,4.0
Eren Elmalı,Galatasaray,UNKNOWN,TUR,89.2,92.0,79.0,33.34,6.0,2.0,1.0
Lucas Hernández,Paris,CENTRE_BACK,FRA,89.17,156.0,146.0,0.0,1.0,0.0,2.0
Sven Botman,Newcastle,CENTRE_BACK,NED,89.13,368.0,334.0,0.0,0.0,0.0,6.0
Marc Pubill,Atleti,UNKNOWN,ESP,89.13,356.0,323.0,62.5,8.0,5.0,5.0
Robin Koch,Frankfurt,UNKNOWN,GER,89.13,342.0,312.0,0.0,0.0,0.0,6.0
João Simões,Sporting CP,UNKNOWN,POR,89.13,261.0,237.0,0.0,3.0,0.0,11.0
Eduardo Camavinga,Real Madrid,DEFENSIVE_MIDFIELDER,FRA,89.1,308.0,284.0,0.0,1.0,0.0,4.0
Pierre-Emile Højbjerg,Marseille,CENTRAL_MIDFIELDER,DEN,89.0,573.0,514.0,50.0,2.0,1.0,14.0
Rafa Marín,Villarreal,UNKNOWN,ESP,89.0,252.0,228.0,0.0,0.0,0.0,11.0
Iñigo Lekue,Athletic Club,FULL_BACK,ESP,89.0,95.0,81.0,25.0,4.0,1.0,2.0
Andriy Lunin,Real Madrid,GOALKEEPER,UKR,89.0,67.0,58.0,0.0,0.0,0.0,3.0
Luca Reggiani,B. Dortmund,UNKNOWN,ITA,89.0,35.0,31.0,0.0,0.0,0.0,1.0
James Trafford,Man City,UNKNOWN,ENG,89.0,18.0,16.0,0.0,0.0,0.0,0.0
Maroan Sannadi,Athletic Club,UNKNOWN,MAR,89.0,9.0,8.0,0.0,0.0,0.0,0.0
Leo Shahar,Newcastle,DEFENDER,ENG,89.0,9.0,8.0,0.0,0.0,0.0,0.0
Jarell Quansah,Leverkusen,UNKNOWN,ENG,88.91,584.0,521.0,20.0,5.0,1.0,12.0
Nicolás Otamendi,Benfica,UNKNOWN,ARG,88.9,534.0,478.0,50.0,4.0,2.0,19.0
Désiré Doué,Paris,UNKNOWN,FRA,88.88,316.0,281.0,29.42,34.0,10.0,0.0
Gonçalo Inácio,Sporting CP,CENTRE_BACK,POR,88.78,639.0,569.0,0.0,2.0,0.0,18.0
Rico Lewis,Man City,UNKNOWN,ENG,88.75,133.0,118.0,100.0,2.0,2.0,1.0
Mauro Júnior,PSV,ATTACKING_MIDFIELDER,BRA,88.72,372.0,331.0,37.5,8.0,3.0,6.0
Francisco Conceição,Juventus,UNKNOWN,POR,88.67,191.0,169.0,33.34,27.0,9.0,1.0
Christian Nørgaard,Arsenal,UNKNOWN,DEN,88.67,190.0,170.0,0.0,5.0,0.0,4.0
Álvaro Carreras,Real Madrid,UNKNOWN,ESP,88.63,450.0,402.0,40.0,5.0,2.0,14.0
Dominik Szoboszlai,Liverpool,CENTRAL_MIDFIELDER,HUN,88.6,642.0,577.0,34.7,49.0,17.0,23.0
Mohammed Salisu,Monaco,UNKNOWN,GHA,88.6,198.0,177.0,0.0,0.0,0.0,8.0
Arda Güler,Real Madrid,UNKNOWN,TUR,88.59,553.0,490.0,37.21,43.0,16.0,18.0
Hugo Larsson,Frankfurt,UNKNOWN,SWE,88.58,239.0,209.0,50.0,2.0,1.0,4.0
Bruno Langa,Pafos,UNKNOWN,MOZ,88.58,50.0,42.0,25.0,4.0,1.0,0.0
Mario Pašalić,Atalanta,CENTRAL_MIDFIELDER,CRO,88.56,251.0,220.0,25.0,4.0,1.0,8.0
Dean Huijsen,Real Madrid,UNKNOWN,ESP,88.5,550.0,487.0,0.0,0.0,0.0,6.0
Yuri Berchiche,Athletic Club,UNKNOWN,ESP,88.5,136.0,119.0,16.67,6.0,1.0,2.0
Mario Lemina,Galatasaray,UNKNOWN,GAB,88.45,376.0,336.0,0.0,3.0,0.0,3.0
Tom Bischof,Bayern München,UNKNOWN,GER,88.45,268.0,247.0,14.29,7.0,1.0,6.0
Hans Vanaken,Club Brugge,ATTACKING_MIDFIELDER,BEL,88.4,653.0,581.0,45.46,11.0,5.0,16.0
Alexis Mac Allister,Liverpool,UNKNOWN,ARG,88.4,399.0,353.0,50.0,2.0,1.0,9.0
